created_at,text
2020-03-22,"Remember back in 2016 when #Trump voters were saying they wanted to ""tear down the system""? This is what they were talking about. #COVIDー19 https://t.co/VJGhRUTCcX"
2020-03-22,"Treatment of dangerous disease is also possible, through the true worship of God #coronavirus #WhoCanSave_The_World"
2020-03-22,"The Indian Media is continuously showing the #coronavirus news all day along. This influence many Indians as more people are fearing out and getting panic. The Indian Media only knows how to make TRP.
#StopPanicIndianMedia"
2020-03-22,"TIA seeks support, cooperation from public | https://t.co/CnBzRK0VXU Kathmandu, March 16 The country’s sole international airport — Tribhuvan International Airport (TIA) — is seeking public cooperation to keep the airport safe and to generate awareness about the coronavirus. Th… https://t.co/pfPdLjluVD"
2020-03-22,#CoronavirusPandemic #CoronaUpdatesInIndia #COVIDー19 #StayAtHome #COVIDIOT #QuarantineOnlineParty #Covid_19 @Bhadresh_variya @narendramodi @CAclubindia @anilghodadara https://t.co/PVNXafyfYt
2020-03-22,"Putting profits before staff wellbeing and common sense. Bookmark this, folks. 😷 https://t.co/Yrp5HX6obx"
2020-03-22,FFS!! Find them ...... hurt them.....🤬🤬🤬 https://t.co/lFdkyenosg
2020-03-22,"@NJFiberExchange @jscotto Yes, liquor stores are considered essential business and still open in #NewYorkState
https://t.co/IDf9DyUl29 https://t.co/Zg9kp3m3sp"
2020-03-22,"As a Dalesman, am sure @ChrisMasonBBC will be familiar with the drystone walls of the Dales. Maybe less so, that it is home to one of Britain's rarest spiders. Indeed, the world. It is equivalent to the panda and tiger in terms global rarity. https://t.co/FTC0p24bGQ"
2020-03-22,@realDonaldTrump @JBPritzker @CNN Be careful where u get masks the country is vulnerable at this time. I agree about higher government taking control over supply chain distribution because Terrorists cells may purposely infect supplies with  #COVIDー19 #coronavirus #COVID19 #CoronavirusNewYork @FoxNews
2020-03-22,"@PresidentsPvts @hilaryagro Gov. Cuomo will replace Biden. 
Demented old man gets rid of Bernie.
Coronavirus comes out of ""nowhere.""
Panic in the Streets of New Rochelle.
""Damn that Cuomo Kid is composed”
Biden catches virus.
Andrew Cuomo steps up.
#cuomovirus2020
https://t.co/xJJYTXahbT"
2020-03-22,"She earns $15 an hour, &amp; like half of NYC’s direct care workers, relies on food stamps even when she is working. When schools closed, she had to leave either her epileptic patient or her 7-year-old daughter home alone. 
⁦@johnleland⁩ , her choice: https://t.co/qfFjjyA4xv"
2020-03-22,"2/2
Survival of the fittest is the name of the game, only that here, mental fitness is needed.
PS: You can't support or rebuke the decision. The government is really between the devil and a deep blue sea here.

#COVID19 #pandemic"
2020-03-22,"@mmpadellan Coronavirus Infection Symptoms| CORONA VIRUS https://t.co/lPwXFlB4BN 
@getmixapp

#coronavirus #ovid19 #jantacurfew"
2020-03-22,"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona
https://t.co/KXEODhXAUR"
2020-03-22,"#JantaCurfewMarch22 
#CoronavirusPandemic 

We may hv just 2 wks of time window to prevent stage3, let us fight together and emerge victorious together"
2020-03-22,LOOOOL I hate it here https://t.co/HzuBRfziN1
2020-03-22,"Whilst it’s banter that they’re calling her a terrorist, she IS a terrorist. How fucking selfish, she has zero regrets  https://t.co/gqPWj3hJkY"
2020-03-22,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly"
2020-03-22,"If @realDonaldTrump gets to call #COVID19 “Chinese virus”, do I get to call #smallpox “White People Disease”?"
2020-03-22,@renatte68 @iheartmindy That have a diagnosis or died? Could say the same of the cold. Huge difference. Don’t give into the panic: https://t.co/ssVN1MSNvR
2020-03-22,Request all countries and organizations to put vaporized sanitizers in air conditioner ventilators which will help  killing viruses easily https://t.co/c2bmoQEYbG
2020-03-22,Omg...this is just so criminal https://t.co/ZOODt2dDpN
2020-03-22,@CNN is a very poor news outlet. https://t.co/pHbzqbfZOQ
2020-03-22,Mnuchin confident that stimulus package will keep economy afloat until coronavirus passes | Fox News https://t.co/3QOcel8HHP
2020-03-22,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly"
2020-03-22,interesting thread with some great ideas for dealing with isolation based on @SloopJontyB unique experience https://t.co/JF8qaWy89H
2020-03-22,@baljahat should be... tapi make sure kalau ko ada direct contact ngan org positive covid-19 tu then gi spital terus
2020-03-22,Adam Lambert new album: ‘My lockdown ANTHEM’ Fans go wild over Velvet in self-isolation https://t.co/tbMuyUQpOx
2020-03-22,New Satellite Video Shows China Pollution Vanishing During COVID-19 Lockdown—Then Coming Back via @forbes https://t.co/tmlFsyY5tX
2020-03-22,"Whilst most countries see the coronavirus outbreak as a potential disaster the U.S and Israel see it as an opportunity to gain an advantage. The sanctions against Iran,Venezuela from the U.S (supported by the E.U) and the restriction placed on the Palestinians is without equal."
2020-03-22,no covid-19 cases kasi no testings were made for people who showed symptoms?? https://t.co/glUvWCo5mf
2020-03-22,@SebGorka Interesting and thank I for pointing that out Maybe a so called journalist will ask Dr Fauci about that. Sounds plausible bec that is how they treat Corona viruses in cats cover them for the secondary bac infection #cats #CoronavirusPandemic
2020-03-22,Member of Vice President Mike Pence's Office Tests Positive for Coronavirus https://t.co/x6015hZTEA
2020-03-22,"@CNBCArabia @imankais1 #Devil_World_Agreement
World's Leaders have decided to reduce planet population  by no less than  5% secretly. 
I.e killing  around 300M people. 
Before  revealing the Corona covid-19 cure"
2020-03-22,"Coronavirus: Ten norms PM Modi urged Indians to follow to help fight Covid-19
https://t.co/1Wh1JxBIte

via NaMo App https://t.co/bLYyqKG1e1"
2020-03-22,This is terrifying and not something I even considered. https://t.co/pwXWkVMrOq
2020-03-22,"As the US and China square off over both sides' handling of the COVID-19 crisis, several Australian China-watchers have lent weight to President &amp;#173;Donald Trump's criticism of &amp;#173;Beijing.

https://t.co/mV70lm1Lgu @australian"
2020-03-22,"A psychological threshold was crossed with Vanderburgh County's first coronavirus case, leaving health professionals to assess their readiness for an outbreak. https://t.co/ZahQaW3QCH"
2020-03-22,WHO Spread False Chinese Government Propaganda: Coronavirus Not Contagious Among Humans https://t.co/SzrsReqPHs
2020-03-22,https://t.co/fBenPoI4Q1 anothet chutiya spotted..
2020-03-22,"To everyone with social anxiety, this is our time to shine! #COVID19 #SocialDistance #Social_Distancing #QuaratineLife"
2020-03-22,"Please don't use a blow dryer, it will most likely cause the virus to move into your lungs even faster! https://t.co/p95SrNueWT"
2020-03-22,"Dr. Thomas Cowan, M.D. discusses the Coronavirus https://t.co/Pulzu3vnZC via @YouTube"
2020-03-22,"https://t.co/rmYrPNKWh7

Anyone who even thinks about doing this needs to be put in the gas chamber... Fucking disgusting, You think this makes the world look at white people any better? WTF is wrong with people like that?"
2020-03-22,@DavidJHarrisJr The media is a joke and a bigger problem to this country then the COVID-19 outbreak
2020-03-22,"According to authorities in Italy, the hospitals are full and overwhelmed with people suffering from the deadly Coronavirus.  https://t.co/M7FrrhAbdC… #SokoWeekend

image courtesy https://t.co/vegeluD3wY"
2020-03-22,"@BFMTV @CNEWS @TF1 @Le_Progres
@olivierveran @EmmanuelMacron https://t.co/kMBH7wMg0X"
2020-03-22,"#AmericanVirus #Covid_19 #AmericanVirus #italiancoronaviruslastnov
#CoronavirusPandemic 
#remuzzisaidaboutcoronavirus
#CoronaCrisis https://t.co/jtOK2R5u0K"
2020-03-22,"it is impossible to pay for your labor 🙏 so glad that we have you 🙏👏
Thank you so much 👏👏💯😷
 @silv24 
#StayAtHome #CoronavirusPandemic #coronavirus #COVIDー19 #coronaUK #coronaupdate #coronatuerkiye #HighRiskCovid19 #Italia #Netflix #pyjamaParty #book https://t.co/U2EBAkzZub"
2020-03-22,This is the second face of racism(Trump 1st) https://t.co/AYc7hSKSPj
2020-03-22,Five things to help stop the spread of coronavirus https://t.co/rx3ekFx6mJ
2020-03-22,"Nah, we won’t be getting ready for this. Jesus will protect&amp; uniquely bless His people during this crisis. https://t.co/3ht8rUUhZ0"
2020-03-22,"@wildnoe @Kay_L_Player @WestminsterWAG @JamesDelingpole I said it was nice that he had done so. I think it's weird that he chose to link a tweet, to who she is married to, but he did.

So now that's covered, do you think people who have had contact with those with Covid-19 should stay at home, or travel into central London? https://t.co/6fx5tpHgGg"
2020-03-22,"And all along @realDonaldTrump and @SenatorBurr knew EXACTLY what was occurring and why. Then chose to do NOTHING‼️
WHILE AMERICANS DIED‼️
Except they had time to plot their PR spin 😡😡 #coronavirus 🦠 https://t.co/5TsEhmp1Tq"
2020-03-22,"COVID-19 case tally: 315,992 cases, 13,589 deaths: https://t.co/GNYwl3GdQQ"
2020-03-22,"Completely wrong, we better avoid underestimating 
COVID-19, the outbreak of which can strick us as hard as any other nation.  Let us be &amp; act more rational rather than fooling ourselves. https://t.co/6FvSmzLH9l"
2020-03-22,@RealMattLucas The world needs another Little Britain podcast! Coronavirus themed maybe? I can picture Carol wearing a mask refusing everyone's travel plans...
